"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"GamingSetDiceTypeDescription","This item includes a wide range of game pieces, including dice and decks of cards."
"GamingSetDiceTypeTitle","Dice Set"
"GemAmethystDescription","A beautiful amethyst, worth <#A95827>20 gold pieces</color>."
"GemAmethystTitle","Amethyst"
"GemDiamondDescription","A magnificent diamond, worth <#A95827>1000 gold pieces</color>."
"GemDiamondTitle","Diamond"
"GemEmeraldDescription","A finely cut emerald, worth <#A95827>100 gold pieces</color>."
"GemEmeraldTitle","Emerald"
"GemOpalDescription","A great looking opal, worth <#A95827>300 gold pieces</color>."
"GemOpalTitle","Opal"
"GemRubyDescription","A beautiful ruby, worth <#A95827>500 gold pieces</color>."
"GemRubyTitle","Ruby"
"GemSapphireDescription","A shiny sapphire, worth <#A95827>50 gold pieces</color>."
"GemSapphireTitle","Sapphire"
"GlaiveTypeTitle","Glaive"
"GreataxeTypeTitle","Greataxe"
"GreatclubTypeTitle","Greatclub"
"GreatswordTypeTitle","Greatsword"
"HalberdTypeTitle","Halberd"
"HandaxeTypeTitle","Handaxe"
"HandCrossbowTypeTitle","Hand Crossbow"
"HeavyArmorCategoryDescription","Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks."
"HeavyArmorCategoryTitle","Heavy Armor"
"HeavyCrossbowTypeTitle","Heavy Crossbow"
"HectorLetterContent1","It was a bad plan; I said so from the start. It took me a month to master Griff's full appearance and a year to build the spider cult. The orcs are now loyal to me and eager to follow me to war, but the Scavengers have found the city and started encroaching on the orcs' territory. I decided to use the orcs ahead of schedule and wipe out the Scavengers. There were only a dozen of them, but they put up more of a fight than I expected, and I had to change the plan again. I sacrificed more orcs to capture their leader, a man named Hector. I will cancel the operation with the spider cult, and take the appearance of this Hector. A prominent member of the Scavengers could be useful. I must spend time alone with him deeper in the ruins, where the orcs don't go."
"HectorLetterContent2","I'm leaving this note in case the Tshar sends for me. I might not get out alive. I made a mistake going so deep, so near the amphitheater. The deep spiders are much more numerous than I thought, and they have killed my prisoner. I won't be able to become Hector. The mission is a complete failure and I will answer to the Tshar - if I survive. I will try to escape by climbing up the amphitheater, but the spiders might be too fast for me. Glory to Sorr-Tarr!"
"HerbalismKitToolTypeDescription","Contains a variety of instruments such as clippers, mortar and pestle, plants, and chemicals, to craft potions, antitoxins, alchemist's fire, and even acid or oil flasks."
"HerbalismKitToolTypeTitle","Herbalism Kit"
"HolySymbolAmuletTitle","Holy Symbol (Amulet)"
"HolySymbolEmblemTitle","Holy Symbol (Emblem)"
"HolySymbolGeneralDescription","A cleric or paladin can use a holy symbol as a spellcasting focus."
"HolySymbolGeneralTitle","Holy Symbol"
"HolySymbolReliquaryTitle","Holy Symbol (Reliquary)"
"Ingredient_AbyssMoss_Description","A very rare moss found in the depths beneath the Badlands."
"Ingredient_AbyssMoss_Title","Abyss Moss"
"Ingredient_Acid_Description","A small amount of acid."
"Ingredient_Acid_Title","Acid "
"Ingredient_AngryViolet_Description","Common in the Principality of Masgarth, this flower is named after a famous wizard."
"Ingredient_AngryViolet_Title","Angry Violet"
"Ingredient_Blood_Of_Solasta_Description","An alchemical solution used by transmuters of the Arcaneum, its recipe was a closely guarded secret in the Manacalon days. It can be used to craft magical items."
"Ingredient_Blood_Of_Solasta_Title","Blood of Solasta"
"Ingredient_Blood_Ruby_Title","Blood Ruby"
"Ingredient_BloodDaffodil_Description","This large flower is rumored to grow well on battlefields."
"Ingredient_BloodDaffodil_Title","Blood Daffodil"
"Ingredient_Cloud_Diamond_Description","A most rare form of diamond, its facets absorb light and reflect it in such a way as to give it its cloudy appearance. It has magical properties and can be used to enchant items."
"Ingredient_Cloud_Diamond_Title","Cloud Diamond"
"Ingredient_Crystal_Of_Winter_Description","Encased in eternal ice, these crystals radiate coldness even in the warmest places. "
"Ingredient_Crystal_Of_Winter_Title","Crystal of Winter"
"Ingredient_DeepRootLichen_Description","A rare lichen found on the roots of magically distorted trees and underground plants."
"Ingredient_DeepRootLichen_Title","Deep Root Lichen"
"Ingredient_DeepVenomGland_Description","Harvested from the corpse of a deep spider. It can be distilled to create a blade venom."
"Ingredient_DeepVenomGland_Title","Deep Spider Venom Gland"
"Ingredient_Diamond_of_Elai_Description","An incredibly beautiful gem, its facets reflect the colors of the eight schools of the Arcaneum in an endless pattern. It can be used to craft magical items."
"Ingredient_Diamond_of_Elai_Title","Diamond of Elai"
"Ingredient_Doom_Gem_Description","This gem has very sharp facets and its mineral composition makes it very hard to stop the bleeding once it has cut skin. It is possible use it to craft magical weapons."
"Ingredient_Doom_Gem_Title","Doom Gem"
"Ingredient_DragonRose_Description","An exquisite rose known for its vivid colors and deep fragrance."
"Ingredient_DragonRose_Title","Dragonrose"
"Ingredient_DrwarvenPrimrose_Title","Dwarven Primrose"
"Ingredient_DwarvenPrimrose_Description","A delicate flower mostly found in northern climes, growing on bare rock."
"Ingredient_Emperorseye_Description","This rare mushroom was named by a slave of the Manacalon Empire, who paid for his disrespect with his life."
"Ingredient_Emperorseye_Title","Emperor's Eye"
"Ingredient_FlyingSnakeScales_Description","Scales from a large flying snake from the Badlands."
"Ingredient_FlyingSnakeScales_Title","Brimstone Viper Scales"
"Ingredient_GallivanAmaranth_Description","A beautiful flower that is very popular in Gallivan."
"Ingredient_GallivanAmaranth_Title","Gallivan Amaranth"
"Ingredient_GoblinHairFungus_Description","This foul-smelling fungus grows well around goblin lairs for some reason."
"Ingredient_GoblinHairFungus_Title","Goblin Hair Fungus"
"Ingredient_Heartstone_Description","The hardest of stones, mined from the core of a mountain in the Badlands. It has magical properties."
"Ingredient_Heartstone_Title","Heartstone"
"Ingredient_Lifestone_Description","A lifestone is a very rare gem. In its facets, specialists claim to see life itself unfolding. It can be used to create magical items."
"Ingredient_Lifestone_Title","Life Stone"
"Ingredient_LilyOfTheBadlands_Description","A small but useful flower that draws its power from the magic of the Badlands."
"Ingredient_LilyOfTheBadlands_Title","Lily of the Badlands"
"Ingredient_Magnesium_Description","Some powdered magnesium."
"Ingredient_Magnesium_Title","Magnesium"
"Ingredient_ManacalonOrchid_Description","A very rare flower that seems to have survived the Cataclysm, generally found deep in Manacalon-era ruins."
"Ingredient_ManacalonOrchid_Title","Manacalon Orchid"
"Ingredient_MedusaCoral_Description","Medusa corals are the bane of divers on the shallow reefs around the southern islands as touching them is courting a slow death. "
"Ingredient_MedusaCoral_Title","Medusa Coral"
"Ingredient_Mithralstone_Description","This stone is a block of pure mithral, a metal known for its flexibility and lightness, often used to reinforce weak points of armors. "
"Ingredient_Mithralstone_Title","Mithral Stone"
"Ingredient_MoonFlower_Description","A white flower that opens only in moonlight."
"Ingredient_MoonFlower_Title","Moonflower"
"Ingredient_Oil_Of_Acuteness_Description","This magical essence can be fused with a primed weapon or suit of armor in order to enchant it. The process requires time, as well as proficiency with the enchanter's rosary."
"Ingredient_Oil_Of_Acuteness_Title","Oil of Acuteness"
"Ingredient_Oil_Of_Sharpness_Description","This magical essence can be fused with a primed weapon in order to enchant it. The process requires time, as well as proficiency with the enchanter's rosary."
"Ingredient_Oil_Of_Sharpness_Title","Oil of Sharpness"
"Ingredient_Primed_BattleAxe_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_BattleAxe_Title","Primed Battleaxe"
"Ingredient_Primed_Breastplate_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Breastplate_Title","Primed Breastplate"
"Ingredient_Primed_Chainmail_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Chainmail_Title","Primed Chain Mail"
"Ingredient_Primed_Chainshirt_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Chainshirt_Title","Primed Chain Shirt"
"Ingredient_Primed_Dagger_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Dagger_Title","Primed Dagger"
"Ingredient_Primed_Fullplate_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Fullplate_Title","Primed Plate"
"Ingredient_Primed_GreatAxe_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_GreatAxe_Title","Primed Greataxe"
"Ingredient_Primed_Greatsword_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Greatsword_Title","Primed Greatsword"
"Ingredient_Primed_Halfplate_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Halfplate_Title","Primed Half Plate"
"Ingredient_Primed_LeatherArmor_Description","Enchanted by a Manacalon craftmaster, this armor is made of tarrasque leather. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_LeatherArmor_Title","Primed Leather Armor"
"Ingredient_Primed_Longbow_Description","Enchanted by a Colthannin master bowyer, this weapon is made of magical woods and alloys. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Longbow_Title","Primed Longbow"
"Ingredient_Primed_Longsword_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Longsword_Title","Primed Longsword"
"Ingredient_Primed_Mace_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Mace_Title","Primed Mace"
"Ingredient_Primed_Morningstar_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Morningstar_Title","Primed Morningstar"
"Ingredient_Primed_Rapier_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Rapier_Title","Primed Rapier"
"Ingredient_Primed_ScaleMail_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_ScaleMail_Title","Primed Scale Mail"
"Ingredient_Primed_Scimitar_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Scimitar_Title","Primed Scimitar"
"Ingredient_Primed_Shortbow_Description","Enchanted by a Colthannin master bowyer, this weapon is made of magical woods and alloys. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Shortbow_Title","Primed Shortbow"
"Ingredient_Primed_Shortsword_Description","Enchanted by a Manacalon master smith, this weapon is made of a magical alloy. It only needs a catalyst to unlock its potential."
"Ingredient_Primed_Shortsword_Title","Primed Shortsword"
"Ingredient_PurpleAmber_Description","This fossilized resin from pre-Manacalon trees is very hard to shape: it is harder than steel and its shards are incredibly sharp. They can be used to craft a magical weapon."
"Ingredient_PurpleAmber_Title","Purple Amber"
"Ingredient_QueenIvy_Description","A small flower, often used as a decorative motif in Manacalon architecture but now rare."
